Sigla,Codigo,Estado,Anos de Estudo,Populacao,,
AC,12,Acre,6.9,733559,,
AL,27,Alagoas,5.7,3120494,,
AM,13,Amazonas,8.2,3483985,,
AP,16,Amapá,8.7,669526,,
BA,29,Bahia,6.6,14016906,,
CE,23,Ceará,6.4,8452381,,
DF,53,Distrito Federal,10.1,2570160,,
ES,32,Espírito Santo,7.8,3514952,,
GO,52,Goiás,7.6,6003788,,
MA,21,Maranhão,6.1,6574789,,
MG,31,Minas Gerais,7.5,19597330,,
MS,50,Mato Grosso do Sul,7.8,2449024,,
MT,51,Mato Grosso,7.8,3035122,,
PA,15,Pará,6.8,7581051,,
PB,25,Paraíba,6.5,3766528,,
PE,26,Pernambuco,6.9,8796448,,
PI,22,Piauí,5.8,3110292,,
PR,41,Paraná,8.1,10444526,,
RJ,33,Rio de Janeiro,8.9,15989929,,
RN,24,Rio Grande do Norte,6.5,3168027,,
RO,11,Rondônia,7.3,1562409,,
RR,14,Roraima,8.3,450479,,
RS,43,Rio Grande do Sul,7.9,10693929,,
SC,42,Santa Catarina,8.3,6248436,,
SE,28,Sergipe,6.2,2068017,,
SP,35,São Paulo,8.9,41262199,,
TO,17,Tocantins,7.2,1383445,,