State,Minimum Wage,Unemployment Rate
AK,9.89,6.4
AL,0.00,3.5
AR,9.25,3.5
AZ,11.00,4.9
CA,11.00,4.2
CO,11.10,3
CT,10.10,3.7
DC,14.00,5.6
DE,8.75,3.2
FL,8.46,3.4
GA,7.25,3.7
HI,10.10,2.8
IA,7.25,2.4
ID,7.25,2.8
IL,8.25,4.3
IN,7.25,3.5
KS,7.25,3.4
KY,7.25,4.1
LA,0.00,4.3
MA,12.00,3
MD,10.10,3.8
ME,11.00,3.2
MI,9.45,4.2
MN,9.86,3.3
MO,8.60,3.3
MS,0.00,5
MT,8.50,3.5
NC,7.25,4.1
ND,7.25,2.3
NE,9.00,3
NH,7.25,2.5
NJ,10.00,3.5
NM,7.50,4.9
NV,8.25,4
NY,11.10,4
OH,8.55,4
OK,7.25,3.2
OR,11.25,4.1
PA,7.25,3.8
RI,10.50,3.6
SC,0.00,3.5
SD,9.10,2.9
TN,0.00,3.4
TX,7.25,3.4
UT,7.25,2.8
VA,7.25,2.9
VT,10.78,2.1
WA,12.00,4.6
WI,7.25,2.9
WV,8.75,4.7
WY,7.25,3.5